*** SOLVE with Box-FDDP ***
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV    
  17  7.952e+05  7.905e+05  1.703e+06  1.000e-05  1.000e-05  0.0020  2.632e-01  0.000e+00  0.000e+00  3.204e+03  -2.813e+03
  18  7.952e+05  7.905e+05  1.703e+06  1.000e-04  1.000e-04  0.0020  2.632e-01  0.000e+00  0.000e+00  3.204e+03  -2.794e+03
  19  7.952e+05  7.904e+05  1.704e+06  1.000e-03  1.000e-03  0.0020  2.632e-01  0.000e+00  0.000e+00  3.204e+03  -2.607e+03
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV    
  20  7.952e+05  7.902e+05  1.708e+06  1.000e-02  1.000e-02  0.0020  2.632e-01  0.000e+00  0.000e+00  3.208e+03  -1.293e+03
  21  7.633e+05  7.886e+05  1.735e+06  1.000e-02  1.000e-02  0.1250  2.632e-01  0.000e+00  0.000e+00  1.935e+05  3.188e+04
  22  7.633e+05  7.553e+05  1.674e+06  1.000e-01  1.000e-01  0.0020  2.303e-01  0.000e+00  0.000e+00  3.107e+03  2.678e+02
  23  4.177e+05  7.481e+05  1.705e+06  1.000e-01  1.000e-01  0.5000  2.303e-01  0.000e+00  0.000e+00  5.872e+05  3.456e+05
  24  2.395e+05  3.995e+05  9.469e+05  1.000e-01  1.000e-01  0.5000  1.151e-01  0.000e+00  0.000e+00  3.181e+05  1.782e+05
  25  1.940e+05  2.166e+05  6.141e+05  1.000e-01  1.000e-01  0.2500  5.757e-02  0.000e+00  0.000e+00  1.117e+05  4.551e+04
  26  1.940e+05  1.711e+05  4.791e+05  1.000e+00  1.000e+00  0.0020  4.318e-02  0.000e+00  0.000e+00  8.011e+02  -1.200e+01
  27  1.021e+05  1.630e+05  4.093e+05  1.000e-01  1.000e-01  1.0000  4.318e-02  0.000e+00  0.000e+00  1.630e+05  9.188e+04
  28  5.343e+04  4.039e+04  1.781e+05  1.000e-01  1.000e-01  0.5000  0.000e+00  0.000e+00  0.000e+00  4.246e+04  4.870e+04
  29  4.020e+04  2.530e+04  6.264e+04  1.000e-01  1.000e-01  0.2500  0.000e+00  0.000e+00  0.000e+00  1.220e+04  1.323e+04
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV    
  30  2.944e+04  1.459e+04  3.503e+04  1.000e-01  1.000e-01  0.5000  0.000e+00  0.000e+00  0.000e+00  1.167e+04  1.076e+04
  31  2.558e+04  5.712e+03  1.487e+04  1.000e-01  1.000e-01  0.5000  0.000e+00  0.000e+00  0.000e+00  4.715e+03  3.857e+03
  32  2.400e+04  3.050e+03  6.982e+03  1.000e-02  1.000e-02  1.0000  0.000e+00  0.000e+00  0.000e+00  3.050e+03  1.585e+03
  33  2.345e+04  2.856e+03  5.871e+03  1.000e-02  1.000e-02  0.1250  0.000e+00  0.000e+00  0.000e+00  6.781e+02  5.447e+02
  34  2.337e+04  2.357e+03  4.865e+03  1.000e-02  1.000e-02  0.0625  0.000e+00  0.000e+00  0.000e+00  2.899e+02  7.786e+01
  35  2.191e+04  2.389e+03  4.906e+03  1.000e-02  1.000e-02  0.5000  0.000e+00  0.000e+00  0.000e+00  1.808e+03  1.466e+03
  36  2.112e+04  1.183e+03  2.447e+03  1.000e-02  1.000e-02  0.5000  0.000e+00  0.000e+00  0.000e+00  8.971e+02  7.900e+02
  37  2.107e+04  5.844e+02  1.166e+03  1.000e-02  1.000e-02  0.0625  0.000e+00  0.000e+00  0.000e+00  7.069e+01  4.883e+01
  38  2.088e+04  5.256e+02  1.055e+03  1.000e-02  1.000e-02  0.2500  0.000e+00  0.000e+00  0.000e+00  2.303e+02  1.946e+02
  39  2.087e+04  3.720e+02  7.551e+02  1.000e-02  1.000e-02  0.0156  0.000e+00  0.000e+00  0.000e+00  1.162e+01  8.292e+00
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV    
  40  2.087e+04  3.588e+02  7.270e+02  1.000e-01  1.000e-01  0.0020  0.000e+00  0.000e+00  0.000e+00  1.409e+00  -9.502e-01
  41  2.071e+04  2.612e+02  5.347e+02  1.000e-02  1.000e-02  1.0000  0.000e+00  0.000e+00  0.000e+00  2.612e+02  1.561e+02
  42  2.066e+04  3.484e+02  8.321e+02  1.000e-02  1.000e-02  0.2500  0.000e+00  0.000e+00  0.000e+00  1.651e+02  5.066e+01
  43  2.065e+04  3.544e+02  8.038e+02  1.000e-02  1.000e-02  0.0312  0.000e+00  0.000e+00  0.000e+00  2.324e+01  1.060e+01
  44  2.048e+04  3.272e+02  7.685e+02  1.000e-02  1.000e-02  0.5000  0.000e+00  0.000e+00  0.000e+00  2.596e+02  1.674e+02
  45  2.048e+04  3.056e+02  5.971e+02  1.000e-02  1.000e-02  0.0156  0.000e+00  0.000e+00  0.000e+00  9.367e+00  1.185e+00
  46  2.047e+04  2.846e+02  5.619e+02  1.000e-02  1.000e-02  0.0312  0.000e+00  0.000e+00  0.000e+00  1.740e+01  9.065e+00
  47  2.046e+04  2.172e+02  5.258e+02  1.000e-02  1.000e-02  0.1250  0.000e+00  0.000e+00  0.000e+00  5.591e+01  9.292e+00
  48  2.044e+04  2.513e+02  4.995e+02  1.000e-02  1.000e-02  0.5000  0.000e+00  0.000e+00  0.000e+00  1.881e+02  2.491e+01
  49  2.044e+04  1.789e+02  6.932e+02  1.000e-01  1.000e-01  0.0078  0.000e+00  0.000e+00  0.000e+00  4.085e+00  2.132e+00
*** SOLVE with Box-DDP ***
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV    
   0  1.858e+06  1.932e+06  3.864e+06  1.000e-08  1.000e-08  0.0020  5.130e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1  1.858e+06  1.932e+06  3.864e+06  1.000e-07  1.000e-07  0.0020  5.130e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   2  1.858e+06  1.932e+06  3.864e+06  1.000e-06  1.000e-06  0.0020  5.130e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   3  1.858e+06  1.932e+06  3.864e+06  1.000e-05  1.000e-05  0.0020  5.130e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   4  1.858e+06  1.932e+06  3.864e+06  1.000e-04  1.000e-04  0.0020  5.130e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   5  1.858e+06  1.933e+06  3.865e+06  1.000e-03  1.000e-03  0.0020  5.130e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   6  1.858e+06  1.936e+06  3.873e+06  1.000e-02  1.000e-02  0.0020  5.130e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   7  1.858e+06  1.958e+06  3.916e+06  1.000e-01  1.000e-01  0.0020  5.130e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   8  9.840e+07  2.051e+06  4.102e+06  1.000e-01  1.000e-01  0.1250  5.130e-01  0.000e+00  0.000e+00  4.807e+05  -9.654e+07
   9  5.020e+07  1.084e+08  3.602e+08  1.000e-01  1.000e-01  0.0625  0.000e+00  0.000e+00  0.000e+00  3.776e+06  4.820e+07
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV    
  10  5.020e+07  3.376e+07  1.326e+08  1.000e+00  1.000e+00  0.0020  0.000e+00  0.000e+00  0.000e+00  1.775e+06  -2.672e+07
  11  4.494e+07  3.571e+06  1.058e+08  1.000e+01  1.000e+01  0.0078  0.000e+00  0.000e+00  0.000e+00  3.822e+05  5.260e+06
  12  4.404e+07  3.017e+06  6.888e+07  1.000e+02  1.000e+02  0.0078  0.000e+00  0.000e+00  0.000e+00  2.434e+05  8.969e+05
  13  4.298e+07  7.048e+06  3.298e+07  1.000e+02  1.000e+02  0.0625  0.000e+00  0.000e+00  0.000e+00  1.407e+06  1.063e+06
  14  4.137e+07  6.662e+06  2.987e+07  1.000e+02  1.000e+02  0.0625  0.000e+00  0.000e+00  0.000e+00  1.292e+06  1.608e+06
  15  3.986e+07  5.772e+06  2.465e+07  1.000e+02  1.000e+02  0.0312  0.000e+00  0.000e+00  0.000e+00  5.535e+05  1.511e+06
  16  3.937e+07  4.378e+06  1.956e+07  1.000e+03  1.000e+03  0.0078  0.000e+00  0.000e+00  0.000e+00  1.100e+05  4.900e+05
  17  3.801e+07  2.785e+06  5.763e+06  1.000e+03  1.000e+03  0.2500  0.000e+00  0.000e+00  0.000e+00  1.236e+06  1.357e+06
  18  3.683e+07  2.404e+06  4.796e+06  1.000e+03  1.000e+03  0.2500  0.000e+00  0.000e+00  0.000e+00  1.051e+06  1.179e+06
  19  3.588e+07  2.058e+06  4.360e+06  1.000e+03  1.000e+03  0.2500  0.000e+00  0.000e+00  0.000e+00  9.233e+05  9.560e+05
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV    
  20  3.438e+07  2.162e+06  4.498e+06  1.000e+03  1.000e+03  0.5000  0.000e+00  0.000e+00  0.000e+00  1.643e+06  1.500e+06
  21  3.388e+07  1.927e+06  3.936e+06  1.000e+03  1.000e+03  0.2500  0.000e+00  0.000e+00  0.000e+00  8.509e+05  4.971e+05
  22  3.247e+07  1.927e+06  3.939e+06  1.000e+03  1.000e+03  0.5000  0.000e+00  0.000e+00  0.000e+00  1.456e+06  1.406e+06
  23  3.220e+07  1.265e+06  2.869e+06  1.000e+03  1.000e+03  0.1250  0.000e+00  0.000e+00  0.000e+00  3.151e+05  2.725e+05
  24  3.210e+07  8.816e+05  2.415e+06  1.000e+03  1.000e+03  0.1250  0.000e+00  0.000e+00  0.000e+00  2.423e+05  9.492e+04
  25  3.202e+07  6.931e+05  2.031e+06  1.000e+03  1.000e+03  0.0625  0.000e+00  0.000e+00  0.000e+00  1.028e+05  8.883e+04
  26  3.184e+07  7.341e+05  1.789e+06  1.000e+03  1.000e+03  0.0312  0.000e+00  0.000e+00  0.000e+00  5.002e+04  1.746e+05
  27  3.174e+07  8.578e+05  1.905e+06  1.000e+03  1.000e+03  0.0312  0.000e+00  0.000e+00  0.000e+00  5.564e+04  9.697e+04
  28  3.172e+07  8.630e+05  1.923e+06  1.000e+03  1.000e+03  0.0156  0.000e+00  0.000e+00  0.000e+00  2.827e+04  1.974e+04
  29  3.171e+07  8.412e+05  1.975e+06  1.000e+04  1.000e+04  0.0078  0.000e+00  0.000e+00  0.000e+00  1.423e+04  1.523e+04
